##WOJ,Dolnośląskie                  
m. Gdańsk                     ,456967
m. Gdynia                     ,247324
m. Słupsk                     ,96655
m. Sopot                      ,38141
##WOJ,Śląskie                       
będziński                     ,150912
bielski                       ,156848
cieszyński                    ,173678
częstochowski                 ,134379
gliwicki                      ,114406
kłobucki                      ,85071
lubliniecki                   ,76758
mikołowski                    ,93353
myszkowski                    ,71474
pszczyński                    ,106993
raciborski                    ,110483
rybnicki                      ,74888
tarnogórski                   ,137917
bieruńsko-lędziński           ,57134
wodzisławski                  ,156332
zawierciański                 ,122209
żywiecki                      ,151241
m. Bielsko-Biała              ,175008
m. Bytom                      ,181617
m. Chorzów                    ,112697
m. Częstochowa                ,238042
m. Dąbrowa Górnicza           ,127431
m. Gliwice                    ,195472
m. Jastrzębie-Zdrój           ,92462
m. Jaworzno                   ,94807
m. Katowice                   ,306826
m. Mysłowice                  ,74865
m. Piekary Śląskie            ,58268
m. Ruda Śląska                ,142950
m. Rybnik                     ,141410
m. Siemianowice Śląskie       ,70291
m. Sosnowiec                  ,217638
m. Świętochłowice             ,53798
m. Tychy                      ,129386
m. Zabrze                     ,186913
m. Żory                       ,61925
##WOJ,Świętokrzyskie                
buski                         ,72917
jędrzejowski                  ,88357
kazimierski                   ,34828
kielecki                      ,202753
konecki                       ,82679
opatowski                     ,55114
ostrowiecki                   ,114025
pińczowski                    ,40945
sandomierski                  ,80147
skarżyski                     ,77876
starachowicki                 ,92982
staszowski                    ,73125
włoszczowski                  ,46462
m. Kielce                     ,203804
##WOJ,Warmińsko-mazurskie           
bartoszycki                   ,59873
braniewski                    ,42633
działdowski                   ,65199
elbląski                      ,56504
ełcki                         ,86650
giżycki                       ,56491
iławski                       ,90599
kętrzyński                    ,64552
lidzbarski                    ,42359
mrągowski                     ,50113
nidzicki                      ,33260
nowomiejski                   ,43843
olecki                        ,34066
olsztyński                    ,118063
ostródzki                     ,104411
piski                         ,56993
szczycieński                  ,69368
gołdapski                     ,26545
węgorzewski                   ,23207
m. Elbląg                     ,126049
m. Olsztyn                    ,176463
##WOJ,Wielkopolskie                 
chodzieski                    ,47519
czarnkowsko-trzcianecki       ,87086
gnieźnieński                  ,142285
gostyński                     ,76164
grodziski                     ,50109
jarociński                    ,70973
kaliski                       ,81388
kępiński                      ,56048
kolski                        ,88162
koniński                      ,126465
kościański                    ,78457
krotoszyński                  ,77471
